,time,base,script1,script_price1,script2,script_price2,script3,script_price3,initial base quantity,final base quantity,profit,arbitrage type
249,2023-12-17 20:09:47.944151,USDT,ARBUSDT,1.09710000,ARBTUSD,1.09980000,TUSDUSDT,0.99810000,200.0,200.051,0.10199999999997544,BUY_SELL_SELL
807,2023-12-17 20:09:47.951604,USDT,ARBUSDT,1.09710000,ARBFDUSD,1.09980000,FDUSDUSDT,0.99810000,200.0,200.051,0.10199999999997544,BUY_SELL_SELL
744,2023-12-17 20:09:47.950515,USDT,EURUSDT,1.09280000,APTEUR,7.37460000,APTUSDT,8.06340000,200.0,200.05,0.10000000000002272,BUY_BUY_SELL
189,2023-12-17 20:09:47.943060,USDT,DYDXUSDT,3.11700000,DYDXBNB,0.01294600,BNBUSDT,240.90000000,200.0,200.049,0.09800000000001319,BUY_SELL_SELL
319,2023-12-17 20:09:47.945092,USDT,BTTUSDT,0.00277700,BTTUSDC,0.00277600,USDCUSDT,1.00090000,200.0,200.048,0.09600000000000364,BUY_SELL_SELL
246,2023-12-17 20:09:47.944114,USDT,GTOUSDT,0.01233000,GTOTUSD,0.01236000,TUSDUSDT,0.99810000,200.0,200.046,0.09199999999998454,BUY_SELL_SELL
812,2023-12-17 20:09:47.951676,USDT,AVAXUSDT,41.14000000,AVAXFDUSD,41.24000000,FDUSDUSDT,0.99810000,200.0,200.045,0.08999999999997499,BUY_SELL_SELL
160,2023-12-17 20:09:47.942660,USDT,FILUSDT,5.57400000,FILBNB,0.02315000,BNBUSDT,240.90000000,200.0,200.042,0.08400000000000318,BUY_SELL_SELL
254,2023-12-17 20:09:47.944223,USDT,TUSDUSDT,0.99810000,SSVTUSD,21.46000000,SSVUSDT,21.43000000,200.0,200.041,0.08199999999999363,BUY_BUY_SELL
583,2023-12-17 20:09:47.948415,USDT,BUSDUSDT,1.00030000,USDPBUSD,1.00000000,USDPUSDT,1.00080000,200.0,200.04,0.07999999999998408,BUY_BUY_SELL
268,2023-12-17 20:09:47.944421,USDT,FRONTUSDT,0.37530000,FRONTTUSD,0.37620000,TUSDUSDT,0.99810000,200.0,200.039,0.07799999999997453,BUY_SELL_SELL
18,2023-12-17 20:09:47.939337,USDT,BTCUSDT,41671.94000000,ORDIBTC,0.00116090,ORDIUSDT,48.40100000,200.0,200.039,0.07799999999997453,BUY_BUY_SELL
412,2023-12-17 20:09:47.946226,USDT,BUSDUSDT,1.00030000,DAIBUSD,1.01810000,DAIUSDT,1.01890000,200.0,200.037,0.07400000000001228,BUY_BUY_SELL
